uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
0.09,0.095,0.095,0.095,0.074,0.095,
0.175,0.094,0.185,0.094,0.148,0.095,
0.255,0.094,0.27,0.094,0.243,0.095,
0.33,0.094,0.35,0.094,0.322,0.095,
0.4,0.094,0.425,0.09,0.399,0.095,
0.465,0.094,0.495,0.09,0.49,0.095,
0.525,0.094,0.56,0.09,0.566,0.095,
0.58,0.094,0.62,0.09,0.645,0.095,
0.63,0.094,0.675,0.082,0.71,0.095,
0.675,0.086,0.725,0.082,0.773,0.095,
0.715,0.076,0.77,0.082,0.849,0.095,
0.75,0.076,0.81,0.075,0.897,0.095,
0.78,0.076,0.845,0.075,0.974,0.095,
0.805,0.076,0.875,0.075,1.03,0.09,
0.825,0.071,0.9,0.075,1.117,0.087,
0.84,0.071,0.92,0.061,1.204,0.087,
0.85,0.071,0.935,0.061,1.281,0.087,
0.855,0.054,0.945,0.055,1.357,0.077,
0.855,0.036,0.95,0.037,1.437,0.077,
0.95,0.017,0.95,0.037,1.5,0.077,
1.04,0.017,0.987,0.043,1.564,0.077,
1.125,0.017,1.069,0.037,1.593,0.077,
1.205,0.017,1.156,0.037,1.649,0.058,
1.28,0.017,1.242,0.037,1.675,0.058,
1.35,0.017,1.323,0.037,1.702,0.058,
1.415,0.017,1.399,0.037,1.753,0.058,
1.475,0.017,1.47,0.037,1.807,0.063,
1.53,0.017,1.535,0.03,1.863,0.063,
1.58,0.017,1.595,0.03,1.918,0.063,
1.625,0.017,1.649,0.028,1.937,0.058,
1.665,0.017,1.698,0.027,1.969,0.058,
1.7,0.017,1.742,0.027,2.039,0.058,
1.73,0.017,1.781,0.027,2.09,0.058,
1.755,0.017,1.814,0.027,2.147,0.058,
1.775,0.017,1.842,0.027,2.195,0.063,
1.79,0.012,1.865,0.027,2.253,0.058,
1.8,0.012,1.882,0.027,2.316,0.058,
1.805,0.012,1.894,0.027,2.368,0.063,
1.805,0.012,1.9,0.027,2.435,0.058,
1.9,0.012,1.9,0.027,2.482,0.058,
1.99,0.012,1.927,0.031,2.523,0.058,
2.075,0.012,1.979,0.034,2.573,0.063,
2.155,0.012,2.048,0.033,2.628,0.058,
2.23,0.012,2.128,0.033,2.679,0.063,
2.3,0.012,2.211,0.033,2.739,0.063,
2.365,0.012,2.283,0.033,2.788,0.055,
2.425,0.012,2.362,0.033,2.843,0.055,
2.48,0.012,2.436,0.033,2.877,0.055,
2.53,0.012,2.505,0.033,2.919,0.06,
2.575,0.012,2.567,0.033,2.964,0.049,
2.615,0.012,2.622,0.033,3.03,0.049,
2.65,0.012,2.67,0.033,3.078,0.049,
2.68,0.012,2.713,0.033,3.09,0.041,
2.705,0.012,2.751,0.033,3.121,0.041,
2.725,0.012,2.784,0.033,3.183,0.041,
2.74,0.012,2.812,0.033,3.236,0.041,
2.75,0.012,2.833,0.033,3.258,0.041,
